Priority;Category;Segment;Organisation;SourceName;SourceType;SourceTier;PreferredURL;IncludeRules;ExcludeRules;CadenceDays;Enabled;Notes
1;Competitor;Competitor;1NCE;News;Press Releases;Primary;https://www.1nce.com/en-us/resources/news;"press release;pricing;flat-rate;expansion;partnership;offer;coverage;enterprise";"generic blog;how-to;opinion";3;1;Track pricing/packaging and geographic expansion.
1;Competitor;Competitor;AT&T;Newsroom;Pressroom;Primary;https://about.att.com/newsroom.html;"IoT;LTE-M;NB-IoT;5G;private wireless;enterprise;partner;security";"consumer;entertainment;CSR";14;1;Anchor operator: enterprise IoT connectivity moves.
1;Competitor;Competitor;Eseye;News;Newsroom;Primary;https://www.eseye.com/resources/news/;"press release;partnership;acquisition;launch;connectivity;security;eSIM";"webinar;opinion;event recap";7;1;Focus on strategic alliances and platform updates.
1;Competitor;Competitor;KORE;IR Press Releases;IR/Press Releases;Primary;https://ir.korewireless.com/news-events/press-releases;"press release;results;acquisition;strategic;guidance;partnership";"SEC filings only;proxy statement";7;1;Use for financially material updates.
1;Competitor;Competitor;KORE;Press Center;Pressroom;Primary;https://www.korewireless.com/press-center/;"press release;acquisition;earnings;guidance;partnership;platform;IoT connectivity;eSIM";"webinar;event;podcast;thought leadership";3;1;Capture strategic moves and portfolio changes.
1;Competitor;Competitor;Orange Business;Press;Pressroom;Primary;https://www.orange-business.com/en/press;"press release;IoT;connectivity;partnership;enterprise;security;private 5G";"event;CSR;branding";7;1;Track enterprise connectivity packaging and partnerships.
1;Competitor;Competitor;Soracom;Press Releases;Press Releases;Primary;https://soracom.io/press-releases/;"press release;launch;platform update;partner;SGP.32;eSIM;orchestration;security;NTN";"community;meetup;how-to";3;1;Prefer press releases for decision-grade items.
1;Competitor;Competitor;Telefónica Tech;News;Newsroom;Primary;https://telefonicatech.com/en/news;"IoT;managed connectivity;cybersecurity;partnership;platform;enterprise;private 5G";"generic blog;event recap";7;1;More directly relevant to enterprise portfolio changes.
1;Competitor;Competitor;Telenor Connexion;News;Newsroom;Primary;https://www.telenorconnexion.com/newsroom/;"IoT connectivity;managed services;roaming;LTE-M;NB-IoT;eSIM;SGP.32;partnership";"event;webinar;career";7;1;Direct competitor in managed IoT connectivity (strong EU footprint).
1;Competitor;Competitor;Verizon;News Releases;Pressroom;Primary;https://www.verizon.com/about/news/;"IoT;ThingSpace;private 5G;network API;roaming;enterprise connectivity;partnership";"consumer;device launch;CSR";14;1;Anchor operator: packaging/offer signals and enterprise initiatives.
1;Competitor;Competitor;Vodafone IoT;News & Insights;Newsroom;Primary;https://iot.vodafone.com/news-and-insights;"launch;solution;partnership;NB-IoT;LTE-M;roaming;private 5G;security;eSIM";"consumer;CSR;event recap";7;1;Operator moves can shift market expectations quickly.
1;Competitor;Competitor;Wireless Logic;News;Newsroom;Primary;https://wirelesslogic.com/news;"press release;acquisition;partnership;launch;coverage;pricing;CMP;eSIM;SGP.32;roaming;NTN";"webinar;event recap;hiring;culture;CSR;podcast";3;1;"Prefer official announcements; flag M&A/partnerships."
1;Competitor;Competitor;emnify;Blog/News;Blog/Press;Primary;https://www.emnify.com/blog;"press release;product update;coverage;pricing;SGP.32;eSIM;orchestration;partner;factory-first";"webinar;event;career";7;1;"Filter aggressively; keep launches/packaging only."
1;Competitor;Competitor;floLIVE;News;Newsroom;Primary;https://flolive.net/news/;"press release;launch;partnership;local compliance;multi-domestic;orchestration;eSIM;SGP.32";"event;webinar;award only";3;1;High relevance for orchestration and compliance positioning.
1;Market Signals;Market;3GPP;News;Standards body;Primary;https://www.3gpp.org/news-events;"Release;Rel-17;Rel-18;Rel-19;NTN;RedCap;NB-IoT;LTE-M;security;SA2;CT;RAN";"meeting logistics;working group admin";14;1;Release milestones and work-item signals for roadmaps.
1;Market Signals;Market;GCF;News;Certification forum;Primary;https://www.globalcertificationforum.org/;"certification;test cases;work item;NTN;NB-IoT;LTE-M;RedCap;IoT device;UE";"membership admin;event";14;1;"Certification readiness signals; complements 3GPP."
1;Market Signals;Market;GSMA;Newsroom;Newsroom;Primary;https://www.gsma.com/newsroom/;"SGP.32;eSIM;remote provisioning;iSIM;IoT;security;industry initiative;whitepaper;guideline";"event recap;member spotlight;marketing";7;1;Primary ecosystem signals (eSIM/IoT) and industry initiatives.
1;Partner/Ecosystem;Partner;Deutsche Telekom;Media Information;Press Releases;Primary;https://www.telekom.com/en/media/media-information;"IoT;roaming;NB-IoT;LTE-M;enterprise;partner;campus network;private 5G;NTN;eSIM";"consumer;device launch;CSR";7;1;Use as both partner and market signal in DACH/EU.
1;Partner/Ecosystem;Partner;G+D;News;Newsroom;Primary;https://www.gi-de.com/en/company/press/press-releases;"eSIM;eUICC;iSIM;IoT;security;certification;Common Criteria;partnership";"cash management;non-digital security";14;1;"Key eSIM/security vendor; filter to digital security + IoT."
1;Partner/Ecosystem;Partner;IDEMIA;Press Releases;Press Releases;Primary;https://www.idemia.com/press-release;"eSIM;eUICC;iSIM;IoT;remote provisioning;SGP.32;partnership;certification;security";"financial;events;CSR";14;1;"Key eSIM vendor; track SGP.32 ecosystem executions."
1;Partner/Ecosystem;Partner;Iridium;Press Releases (IR);Press Releases;Primary;https://investor.iridium.com/press-releases;"press release;3GPP;NTN;partnership;service launch;IoT;direct-to-device";financial boilerplate only;7;1;"Prefer official releases; cross-check technical claims."
1;Partner/Ecosystem;Partner;Skylo;Newsroom;Newsroom;Primary;https://www.skylo.tech/newsroom;"certification;module;network;commercial launch;roaming;NTN;3GPP;Rel-17;partner";"event recap;webinar;opinion";7;1;Key NTN production-readiness signals.
2;Competitor;Competitor;1NCE;Pressemitteilungen (DE);Press Releases;Primary;https://www.1nce.com/de-de/ressourcen/news/pressemitteilungen;"pressemitteilung;partnerschaft;expansion;angebot;preis";"karriere;events";7;1;German-language variants occasionally include DACH specifics.
2;Competitor;Competitor;Aeris;Newsroom;Newsroom;Primary;https://www.aeris.com/newsroom/;"press release;acquisition;partnership;secure IoT;platform;CMP";"event;webinar;career";14;1;"Use for material announcements; avoid marketing content."
2;Competitor;Competitor;KPN;News;Newsroom;Primary;https://www.kpn.com/news.htm;"IoT;M2M;NB-IoT;LTE-M;enterprise;partner;network";"consumer;finance;CSR";14;1;EU operator signals (Netherlands) useful for market moves.
2;Competitor;Competitor;Monogoto;News;Newsroom;Primary;https://monogoto.io/news/;"launch;SGP.32;eSIM;starter kit;private LTE;5G;NTN;partner";"webinar;generic how-to";7;1;"Often early GTM signals; validate via secondary sources."
2;Competitor;Competitor;Soracom;News;Newsroom;Primary;https://soracom.io/news/;"announcement;product update;partnership;case study;SGP.32;eSIM";"developer tutorial;event recap";7;1;"Secondary feed; use for smaller product updates."
2;Competitor;Competitor;Telefónica;Press Room;Pressroom;Primary;https://www.telefonica.com/en/communication-room/press-room/;"press release;IoT;connectivity;enterprise;partnership;network;roaming;security";"sponsorship;culture;CSR";14;1;"Corporate feed; use for major moves only."
2;Competitor;Competitor;Wireless Logic;Press;Press/Boilerplate;Primary;https://wirelesslogic.com/press;"press release;media;announcement";"brand assets;boilerplate;contact";14;1;"Low-change page; mainly for cross-checking."
2;Competitor;Competitor;floLIVE;Blog;Blog;Primary;https://flolive.net/blog/;"product update;feature;case study;regulation;SGP.32;eSIM;orchestration";"generic thought leadership;opinion";14;1;Only keep items with concrete product/market moves.
2;Competitor;Competitor;SoftBank;Press Releases;Press Releases;Primary;https://www.softbank.jp/en/corp/news/press/sbkk/;"IoT;M2M;enterprise;connectivity;NB-IoT;LTE-M;5G;private 5G;network API;NTN;satellite;direct-to-cell;Open RAN;edge;cloud;partnership;launch";"consumer;handset;device launch;entertainment;CSR;financial results only";14;1;"APAC (Japan) operator; track enterprise IoT connectivity, private 5G, NTN/satellite and network API moves."
2;Competitor;Competitor;NTT DOCOMO;Press Releases;Press Releases;Primary;https://www.docomo.ne.jp/english/info/media_center/pr/;"IoT;M2M;enterprise;connectivity;NB-IoT;LTE-M;5G;private 5G;network API;roaming;NTN;satellite;partnership;launch;edge;cloud";"consumer;handset;device launch;entertainment;CSR;financial results only";14;1;"APAC (Japan) anchor MNO; track IoT/enterprise connectivity, roaming, NTN/satellite trials and platform announcements."
2;Competitor;Competitor;KDDI;Newsroom;Newsroom;Primary;https://newsroom.kddi.com/english/;"IoT;M2M;enterprise;connectivity;5G;private 5G;network API;roaming;NTN;satellite;direct-to-cell;Starlink;partnership;launch;edge;cloud;data center";"consumer;handset;device launch;entertainment;CSR;financial results only";14;1;"APAC (Japan) MNO; track satellite (direct-to-cell), network API initiatives and enterprise connectivity moves."
2;Competitor;Competitor;Rakuten Mobile;Press Releases;Press Releases;Primary;https://corp.mobile.rakuten.co.jp/english/news/press/;"IoT;M2M;enterprise;connectivity;5G SA;Open RAN;network automation;network API;NTN;satellite;partnership;launch;edge;cloud";"consumer;handset;device launch;entertainment;CSR;financial results only";14;1;"APAC (Japan) MNO/Open RAN leader; track Open RAN, automation, network APIs and IoT/NTN partnerships."
2;Competitor;Competitor;SK Telecom;Press Release;Press Releases;Primary;https://www.sktelecom.com/en/press/press.do;"IoT;M2M;enterprise;connectivity;5G;private 5G;network API;roaming;NTN;satellite;partnership;launch;edge;cloud";"consumer;handset;device launch;entertainment;CSR;financial results only";14;1;"APAC (Korea) anchor MNO; track enterprise IoT connectivity, network API programs and NTN/satellite partnerships."
2;Competitor;Competitor;KT;Press Releases;Press Releases;Primary;https://corp.kt.com/eng/html/promote/news/report_list.html;"IoT;M2M;enterprise;connectivity;5G;private 5G;network API;edge;cloud;partnership;launch;data center";"consumer;handset;device launch;entertainment;CSR;financial results only";14;1;"APAC (Korea) MNO; track private 5G, enterprise IoT offers and strategic partnerships."
2;Competitor;Competitor;China Mobile;Press Releases;Press Releases;Primary;https://www.chinamobileltd.com/en/media/press.php;"IoT;M2M;enterprise;connectivity;NB-IoT;LTE-M;5G;RedCap;network API;roaming;NTN;satellite;edge;cloud;partnership;launch";"consumer;handset;device launch;entertainment;CSR;financial results only";14;1;"APAC (China) anchor MNO; track NB-IoT/LTE-M, 5G, network APIs and IoT platform moves."
2;Competitor;Competitor;China Unicom;Corporate News;Pressroom;Primary;https://www.chinaunicom.com.hk/en/media/press.php;"IoT;M2M;enterprise;connectivity;5G;RedCap;network API;roaming;NTN;satellite;edge;cloud;partnership;launch";"consumer;handset;device launch;entertainment;CSR;financial results only";14;1;"APAC (China) MNO; track enterprise connectivity, network APIs, 5G/RedCap and strategic partnerships."
2;Competitor;Competitor;China Telecom;Press Releases;Press Releases;Primary;https://www.chinatelecom-h.com/en/media/press.php;"IoT;M2M;enterprise;connectivity;5G;edge;cloud;AI;network API;roaming;NTN;satellite;partnership;launch";"consumer;handset;device launch;entertainment;CSR;financial results only";14;1;"APAC (China) MNO; track cloud/edge, IoT connectivity and NTN/satellite developments."
2;Competitor;Competitor;Singtel;Media Centre;Pressroom;Primary;https://www.singtel.com/about-us/media-centre;"IoT;M2M;enterprise;connectivity;5G;private 5G;network API;roaming;NTN;satellite;partnership;launch;edge;cloud;data center";"consumer;handset;device launch;entertainment;CSR;financial results only";14;1;"APAC (Singapore/regional group); track enterprise 5G, network APIs, roaming and regional partnerships."
2;Competitor;Competitor;Telstra;Media Releases;Pressroom;Primary;https://www.telstra.com.au/aboutus/media/media-releases;"IoT;M2M;enterprise;connectivity;5G;private wireless;network API;roaming;satellite;NTN;edge;cloud;partnership;launch";"consumer;handset;device launch;entertainment;CSR;financial results only";14;1;"APAC (Australia) MNO; track IoT/private wireless, satellite backhaul and enterprise connectivity moves."
2;Competitor;Competitor;Reliance Jio;Press Release;Press Releases;Primary;https://www.jio.com/jcms/press-release/;"IoT;M2M;enterprise;connectivity;5G;private 5G;edge;cloud;network API;NTN;satellite;partnership;launch";"consumer plan;prepaid;handset;device launch;entertainment;CSR;financial results only";14;1;"APAC (India) MNO; track 5G/private networks, IoT platform moves and satellite/NTN partnerships."
2;Competitor;Competitor;Bharti Airtel;Press Release;Press Releases;Primary;https://www.airtel.in/press-release/;"IoT;M2M;enterprise;connectivity;5G;private 5G;edge;cloud;network API;roaming;NTN;satellite;subsea cable;partnership;launch";"consumer plan;prepaid;handset;device launch;entertainment;CSR;financial results only";14;1;"APAC (India) MNO; track enterprise connectivity, subsea cable/satellite partnerships and IoT-related launches."
2;Market Signals;Market;GSA;News;Industry association;Primary;https://gsacom.com/;"report;market update;RedCap;NB-IoT;LTE-M;5G;device ecosystem;network status";"event;webinar";30;1;"Market aggregation; good for quarterly trend checks."
2;Market Signals;Market;IoT M2M Council;Press Releases;Industry PR;Primary;https://www.iotm2mcouncil.org/iot-library/press-releases/;"member;partnership;industry initiative;security;regulation;IoT connectivity";"event;award only";14;1;"Use as secondary signal; verify via primary sources."
2;Market Signals;Market;LoRa Alliance;News;Industry alliance;Primary;https://lora-alliance.org/news/;"certification;ecosystem;market adoption;LR-FHSS;roaming;alliances";"member spotlight;event recap";30;1;Useful competitor-tech context vs cellular IoT.
2;Market Signals;Market;RCR Wireless News;IoT Category;Media;Secondary;https://www.rcrwireless.com/category/internet-of-things;"SGP.32;eSIM;NTN;NB-IoT;LTE-M;RedCap;private 5G;campus network;CMP";"opinion;paid content";7;1;"Media triangulation; avoid single-source conclusions."
2;Partner/Ecosystem;Partner;AST SpaceMobile;Press Releases;Press Releases;Primary;https://investors.ast-sciencemobile.com/news-releases;"direct-to-cell;partnership;service launch;coverage;NTN";financial boilerplate only;30;1;"D2D/NTN headline signals; validate technical details elsewhere."
2;Partner/Ecosystem;Partner;BICS;Press Releases;Press Releases;Primary;https://www.bics.com/press-releases/;"eSIM hub;orchestration;roaming;local breakout;interconnect;SGP.32;partner";"career;events";14;1;Important for orchestration and roaming/interconnect moves.
2;Partner/Ecosystem;Partner;Globalstar;Press Releases;Press Releases;Primary;https://investors.globalstar.com/news-releases;"direct-to-device;NTN;partnership;service launch;IoT;coverage";financial boilerplate only;30;1;"NTN adjacency; useful for D2D/NTN market signals."
2;Partner/Ecosystem;Partner;Kigen;Blog;Blog;Primary;https://kigen.com/blog/;"SGP.32;eSIM;iSIM;implementation;operator;orchestration;security";"opinion;generic marketing";30;1;"Secondary to Kigen news; keep only implementation/partner updates."
2;Partner/Ecosystem;Partner;Kigen;News;Newsroom;Primary;https://kigen.com/resources/news/;"SGP.32;eSIM;eUICC;iSIM;partnership;certification;security";"generic blog;opinion";14;1;Track standards implementation and ecosystem partnerships.
2;Partner/Ecosystem;Partner;Nordic Semiconductor;News;Newsroom;Primary;https://www.nordicsemi.com/News;"nRF91;LTE-M;NB-IoT;NTN;certification;partnership;SDK;modem firmware";"event recap;general marketing";14;1;"Chipset vendor; track modem/certification milestones."
2;Partner/Ecosystem;Partner;Quectel;News;Newsroom;Primary;https://www.quectel.com/news/;"module;certification;LTE-M;NB-IoT;5G;RedCap;NTN;partnership;launch";"event;exhibition";14;1;"Large module vendor; filter aggressively to launches/certs."
2;Partner/Ecosystem;Partner;Telit Cinterion;News;Newsroom;Primary;https://www.telit.com/company/press-room/;"module;certification;LTE-M;NB-IoT;5G;RedCap;SIM;IoT connectivity;partnership";"event;webinar;career";14;1;"Module ecosystem signals; useful for roadmap triangulation."
2;Partner/Ecosystem;Partner;Thales;Press Releases;Press Releases;Primary;https://www.thalesgroup.com/en/news-centre/press-releases;"eSIM;eUICC;iSIM;certification;Common Criteria;GSMA;SGP.32;partnership";"defence;non-IoT segments";14;1;"Filter by IoT/eSIM keywords; Thales is broad."
2;Partner/Ecosystem;Partner;u-blox;News;Newsroom;Primary;https://www.u-blox.com/en/news;"module;firmware;certification;LTE-M;NB-IoT;5G;RedCap;NTN;GNSS;partner";"career;event recap";14;1;Module vendor: launch/certification signals that drive BOM readiness.
3;Market Signals;Market;IoT Now;News;Media;Secondary;https://www.iot-now.com/;"CMP;managed connectivity;eSIM;NTN;NB-IoT;LTE-M;pricing;M&A";"sponsored;webinar";14;1;"Secondary; keep only items with clear primary source links."
3;Market Signals;Market;Light Reading;Wireless;Media;Secondary;https://www.lightreading.com/wireless;"IoT;eSIM;SGP.32;network API;5G;private 5G;NTN;operator strategy";"opinion;paid content";14;1;"Good operator-strategy context; always triangulate with primaries."
3;Market Signals;Market;Satellite Today;Connectivity;Media;Secondary;https://www.satellitetoday.com/connectivity/;"NTN;direct-to-device;satellite IoT;certification;launch;partner;3GPP";"opinion;advertorial";14;1;"Good NTN context; validate with primary sources."
3;Market Signals;Market;Telecoms.com;News;Media;Secondary;https://telecoms.com/;"IoT;eSIM;private 5G;operators;NTN;network API";"sponsored;opinion";14;1;"Broad telco coverage; keep only relevant items with primary links."
3;Partner/Ecosystem;Partner;Tata Communications;Press Releases;Press Releases;Primary;https://www.tatacommunications.com/press-release;"IoT;connectivity;roaming;eSIM;partner;enterprise;network";"events;CSR";30;1;"Useful but lower frequency; scan monthly."